trade_date,option_symbol,underlying,type,expiration,strike,upx,bid,ask,implied_vol,volume,open_interest
2013-08-16,IWM130921P00090000,IWM,put,2013-09-21,90,101.68,0.2,0.21,0.25456112391845187,1516,28210
2013-08-16,IWM130921P00091000,IWM,put,2013-09-21,91,101.68,0.25,0.26,0.248217252443376,2946,11300
2013-08-16,IWM130921P00092000,IWM,put,2013-09-21,92,101.68,0.31,0.32,0.24149850091331468,1417,27488
2013-08-16,IWM130921P00093000,IWM,put,2013-09-21,93,101.68,0.38,0.4,0.23495372874727682,2645,34439
2013-08-16,IWM130921P00094000,IWM,put,2013-09-21,94,101.68,0.47,0.49,0.22801304441025722,4057,37702
2013-08-16,IWM130921P00095000,IWM,put,2013-09-21,95,101.68,0.59,0.6,0.22166417983181363,5142,97621
2013-08-16,IWM130921P00096000,IWM,put,2013-09-21,96,101.68,0.72,0.74,0.21458426500125952,3704,62175
2013-08-16,IWM130921P00097000,IWM,put,2013-09-21,97,101.68,0.89,0.91,0.2080146118265215,13382,40668
2013-08-16,IWM130921P00098000,IWM,put,2013-09-21,98,101.68,1.09,1.11,0.20073641740530085,27829,45726
2013-08-16,IWM130921P00099000,IWM,put,2013-09-21,99,101.68,1.34,1.36,0.19411827854231498,5424,32885
2013-08-16,IWM130921P00100000,IWM,put,2013-09-21,100,101.68,1.64,1.66,0.18733829570491187,11093,87907
2013-08-16,IWM130921P00101000,IWM,put,2013-09-21,101,101.68,1.98,2.01,0.17942145321795613,7043,41089
2013-08-16,IWM130921C00102000,IWM,call,2013-09-21,102,101.68,1.91,1.93,0.17252389316653907,13837,18604
2013-08-16,IWM130921C00103000,IWM,call,2013-09-21,103,101.68,1.41,1.43,0.16562377706431836,11249,22606
2013-08-16,IWM130921C00104000,IWM,call,2013-09-21,104,101.68,1,1.01,0.15915400981975958,5623,49620
2013-08-16,IWM130921C00105000,IWM,call,2013-09-21,105,101.68,0.68,0.69,0.15397887643584104,8730,172440
2013-08-16,IWM130921C00106000,IWM,call,2013-09-21,106,101.68,0.44,0.45,0.14936301922631304,9050,56498
2013-08-16,IWM130921C00107000,IWM,call,2013-09-21,107,101.68,0.27,0.28,0.14533441664164964,14696,213852
2013-08-16,IWM130921C00108000,IWM,call,2013-09-21,108,101.68,0.16,0.17,0.14258847831531446,349,38057
2013-08-16,IWM130921C00109000,IWM,call,2013-09-21,109,101.68,0.1,0.11,0.14327990471533913,473,13500
2013-08-16,IWM130921C00110000,IWM,call,2013-09-21,110,101.68,0.06,0.07,0.14383991574842286,245,9283
2013-08-16,IWM130921C00111000,IWM,call,2013-09-21,111,101.68,0.04,0.05,0.14751813717393505,97,4794
2013-08-16,IWM130921C00112000,IWM,call,2013-09-21,112,101.68,0.01,0.04,0.14640608900057245,56,4009
2013-08-16,QQQ130921P00064000,QQQ,put,2013-09-21,64,75.485,0.03,0.04,0.2505339180203207,10,10902
2013-08-16,QQQ130921P00065000,QQQ,put,2013-09-21,65,75.485,0.05,0.06,0.2467090383571262,10,16044
2013-08-16,QQQ130921P00066000,QQQ,put,2013-09-21,66,75.485,0.06,0.07,0.23139398915536902,0,6824
2013-08-16,QQQ130921P00067000,QQQ,put,2013-09-21,67,75.485,0.08,0.09,0.21982347078604572,27,6980
2013-08-16,QQQ130921P00068000,QQQ,put,2013-09-21,68,75.485,0.11,0.13,0.21129359055846697,314,25032
2013-08-16,QQQ130921P00069000,QQQ,put,2013-09-21,69,75.485,0.16,0.17,0.2014353993957842,115,12758
2013-08-16,QQQ130921P00070000,QQQ,put,2013-09-21,70,75.485,0.22,0.23,0.19088271980783353,499,21256
2013-08-16,QQQ130921P00071000,QQQ,put,2013-09-21,71,75.485,0.31,0.32,0.18147771575096647,700,54783
2013-08-16,QQQ130921P00072000,QQQ,put,2013-09-21,72,75.485,0.44,0.45,0.17260491229178732,2420,67375
2013-08-16,QQQ130921P00073000,QQQ,put,2013-09-21,73,75.485,0.62,0.63,0.16345020534965446,7264,31418
2013-08-16,QQQ130921P00074000,QQQ,put,2013-09-21,74,75.485,0.88,0.89,0.15553647463902517,5538,31080
2013-08-16,QQQ130921P00075000,QQQ,put,2013-09-21,75,75.485,1.23,1.24,0.1473353301736172,4765,36294
2013-08-16,QQQ130921C00076000,QQQ,call,2013-09-21,76,75.485,0.94,0.95,0.1374174757668495,12606,28717
2013-08-16,QQQ130921C00077000,QQQ,call,2013-09-21,77,75.485,0.53,0.55,0.12976386539021467,8289,35698
2013-08-16,QQQ130921C00078000,QQQ,call,2013-09-21,78,75.485,0.27,0.28,0.12367033755550645,20194,38135
2013-08-16,QQQ130921C00079000,QQQ,call,2013-09-21,79,75.485,0.12,0.13,0.11931618373385398,1168,13390
2013-08-16,QQQ130921C00080000,QQQ,call,2013-09-21,80,75.485,0.05,0.06,0.11808036456470664,989,18645
2013-08-16,QQQ130921C00081000,QQQ,call,2013-09-21,81,75.485,0.02,0.03,0.11951463419829003,23,13575
2013-08-16,QQQ130921C00085000,QQQ,call,2013-09-21,85,75.485,0.01,0.02,0.17068951553869527,3,22599
2013-08-16,DIA130921P00131000,DIA,put,2013-09-21,131,150.5,0.05,0.13,0.22509090624289615,0,1720
2013-08-16,DIA130921P00132000,DIA,put,2013-09-21,132,150.5,0.06,0.14,0.218179454442445,0,1093
2013-08-16,DIA130921P00133000,DIA,put,2013-09-21,133,150.5,0.11,0.15,0.2170250645782857,0,892
2013-08-16,DIA130921P00134000,DIA,put,2013-09-21,134,150.5,0.13,0.17,0.21136475037171043,0,1119
2013-08-16,DIA130921P00135000,DIA,put,2013-09-21,135,150.5,0.15,0.2,0.2060800212379649,97,3119
2013-08-16,DIA130921P00136000,DIA,put,2013-09-21,136,150.5,0.17,0.23,0.1997912811448785,268,819
2013-08-16,DIA130921P00137000,DIA,put,2013-09-21,137,150.5,0.21,0.26,0.19457890155838314,75,343
2013-08-16,DIA130921P00138000,DIA,put,2013-09-21,138,150.5,0.24,0.3,0.1882638025898303,89,2933
2013-08-16,DIA130921P00139000,DIA,put,2013-09-21,139,150.5,0.29,0.35,0.18321441579834438,211,1077
2013-08-16,DIA130921P00140000,DIA,put,2013-09-21,140,150.5,0.36,0.41,0.17879380343921059,759,3525
2013-08-16,DIA130921P00141000,DIA,put,2013-09-21,141,150.5,0.43,0.48,0.17343932775903878,397,1368
2013-08-16,DIA130921P00142000,DIA,put,2013-09-21,142,150.5,0.51,0.56,0.1676709880574828,313,1172
2013-08-16,DIA130921P00143000,DIA,put,2013-09-21,143,150.5,0.61,0.68,0.16316467584872021,122,945
2013-08-16,DIA130921P00144000,DIA,put,2013-09-21,144,150.5,0.74,0.8,0.1580475221573379,240,3092
2013-08-16,DIA130921P00145000,DIA,put,2013-09-21,145,150.5,0.92,0.95,0.15398797075243498,446,2620
2013-08-16,DIA130921P00146000,DIA,put,2013-09-21,146,150.5,1.08,1.14,0.1483802742023949,820,3615
2013-08-16,DIA130921P00147000,DIA,put,2013-09-21,147,150.5,1.29,1.35,0.14279736974520676,1379,2859
2013-08-16,DIA130921P00148000,DIA,put,2013-09-21,148,150.5,1.55,1.61,0.13765355057164946,2833,4103
2013-08-16,DIA130921P00149000,DIA,put,2013-09-21,149,150.5,1.88,1.92,0.1330573115460623,1233,2003
2013-08-16,DIA130921P00150000,DIA,put,2013-09-21,150,150.5,2.21,2.3,0.1271878802270732,3210,6305
2013-08-16,DIA130921C00151000,DIA,call,2013-09-21,151,150.5,1.85,1.91,0.12193370903663411,11891,1930
2013-08-16,DIA130921C00152000,DIA,call,2013-09-21,152,150.5,1.34,1.41,0.1160837096844955,3118,3743
2013-08-16,DIA130921C00153000,DIA,call,2013-09-21,153,150.5,0.95,0.98,0.11110508774539321,1513,3264
2013-08-16,DIA130921C00154000,DIA,call,2013-09-21,154,150.5,0.63,0.67,0.10703133921832801,1329,4798
2013-08-16,DIA130921C00155000,DIA,call,2013-09-21,155,150.5,0.4,0.44,0.10378497002712117,1414,9876
2013-08-16,DIA130921C00156000,DIA,call,2013-09-21,156,150.5,0.22,0.28,0.10006009189317433,216,4762
2013-08-16,DIA130921C00157000,DIA,call,2013-09-21,157,150.5,0.15,0.18,0.10068755991976192,901,2836
2013-08-16,DIA130921C00158000,DIA,call,2013-09-21,158,150.5,0.09,0.11,0.09999897509359996,381,2376
2013-08-16,DIA130921C00159000,DIA,call,2013-09-21,159,150.5,0.06,0.07,0.10127073325661633,29,1843
2013-08-16,DIA130921C00160000,DIA,call,2013-09-21,160,150.5,0.04,0.05,0.10377071476698545,215,3558
2013-08-16,DIA130921C00161000,DIA,call,2013-09-21,161,150.5,0.01,0.04,0.10292195948486324,28,1163
